	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d
	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	R_Knee_Moment	R_Knee_Moment	R_Knee_Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
339	46.68	3.80	-4.81	30.34	-5.80	5.47
340	45.35	3.90	-4.59	29.16	-5.49	5.11
341	44.04	3.96	-4.34	28.01	-5.19	4.77
342	42.59	4.00	-4.10	26.84	-4.88	4.44
343	41.16	3.98	-3.84	25.62	-4.56	4.12
344	39.60	3.95	-3.59	24.38	-4.24	3.81
345	38.11	3.87	-3.31	23.19	-3.92	3.52
346	36.46	3.77	-3.06	21.99	-3.62	3.25
347	34.83	3.63	-2.80	20.74	-3.30	2.97
348	33.14	3.48	-2.56	19.51	-3.02	2.73
349	31.42	3.30	-2.32	18.34	-2.74	2.48
350	29.66	3.11	-2.11	17.12	-2.47	2.26
351	27.95	2.88	-1.88	15.98	-2.23	2.05
352	26.14	2.66	-1.69	14.77	-2.01	1.85
353	24.37	2.43	-1.51	13.68	-1.81	1.66
354	22.64	2.18	-1.33	12.57	-1.64	1.49
355	20.81	1.96	-1.19	11.50	-1.47	1.32
356	19.11	1.72	-1.05	10.48	-1.35	1.18
357	17.39	1.49	-0.93	9.51	-1.23	1.04
358	15.70	1.28	-0.83	8.59	-1.14	0.90
359	14.08	1.08	-0.75	7.70	-1.06	0.79
360	12.47	0.91	-0.69	6.86	-0.99	0.66
361	10.93	0.75	-0.64	6.16	-0.95	0.57
362	9.52	0.61	-0.61	5.45	-0.90	0.47
363	8.11	0.50	-0.59	4.82	-0.86	0.38
364	6.82	0.41	-0.59	4.25	-0.83	0.29
365	5.58	0.35	-0.60	3.74	-0.81	0.23
366	4.46	0.30	-0.61	3.30	-0.76	0.15
367	3.41	0.28	-0.63	2.91	-0.74	0.10
368	2.48	0.26	-0.66	2.57	-0.68	0.04
369	1.60	0.27	-0.69	2.28	-0.64	-0.00
370	0.84	0.29	-0.72	2.06	-0.57	-0.05
371	0.16	0.32	-0.74	1.81	-0.49	-0.10
372	-0.41	0.35	-0.77	1.64	-0.41	-0.13
373	-0.98	0.39	-0.79	1.51	-0.29	-0.17
374	-1.31	0.41	-0.80	1.39	-0.17	-0.21
375	-1.74	0.46	-0.82	1.22	-0.04	-0.23
376	-2.01	0.49	-0.82	1.21	0.10	-0.24
377	-2.22	0.54	-0.82	1.08	0.28	-0.27
378	-2.38	0.57	-0.81	1.07	0.41	-0.27
379	-2.43	0.60	-0.79	0.97	0.62	-0.28
380	-2.49	0.64	-0.77	0.97	0.78	-0.27
381	-2.41	0.66	-0.74	0.89	0.97	-0.26
382	-2.39	0.69	-0.71	0.88	1.16	-0.25
383	-2.26	0.71	-0.66	0.82	1.35	-0.22
384	-2.08	0.72	-0.62	0.76	1.54	-0.20
385	-1.91	0.73	-0.57	0.72	1.71	-0.17
386	-1.68	0.73	-0.52	0.64	1.90	-0.14
387	-1.41	0.74	-0.46	0.59	2.06	-0.10
388	-1.18	0.75	-0.41	0.51	2.19	-0.06
389	-0.83	0.75	-0.36	0.46	2.35	-0.02
390	-0.52	0.77	-0.31	0.37	2.45	0.02
391	-0.22	0.78	-0.26	0.23	2.57	0.05
392	0.15	0.80	-0.21	0.22	2.65	0.10
393	0.52	0.82	-0.17	0.10	2.72	0.13
394	2.28	1.70	-0.02	0.02	2.78	0.17
395	2.50	1.64	0.01	-0.05	2.80	0.20
396	2.62	1.60	0.03	-0.11	2.84	0.23
397	2.74	1.56	0.05	-0.24	2.85	0.26
398	2.88	1.53	0.06	0.52	1.16	-0.13
399	2.95	1.50	0.06	0.04	2.29	0.29
400	2.99	1.48	0.07	-0.12	2.31	0.31
401	3.08	1.47	0.06	-0.21	2.33	0.33
402	3.09	1.47	0.06	-0.29	2.35	0.35
403	3.10	1.46	0.04	-0.34	2.38	0.36
404	3.09	1.47	0.03	-0.43	2.39	0.37
405	3.10	1.47	0.01	-0.39	2.41	0.38
406	3.06	1.48	-0.02	-0.45	2.44	0.38
407	3.03	1.49	-0.04	-0.47	2.47	0.38
408	3.01	1.50	-0.07	-0.38	2.47	0.37
409	2.92	1.51	-0.11	-0.42	2.51	0.36
410	-1.93	3.12	0.35	-0.32	2.51	0.35
